/Users/zacharyreid/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
2026-03-04 10:34:32,768 - __main__ - INFO - 🚀 STARTING COMPREHENSIVE UFC DATA COLLECTION
2026-03-04 10:34:32,768 - __main__ - INFO - Start time: 2026-03-04 10:34:32.768831
2026-03-04 10:34:32,789 - __main__ - INFO - 📊 OVERALL PROGRESS:
2026-03-04 10:34:32,789 - __main__ - INFO -    Fighters: 4455 total, 0 with career stats
2026-03-04 10:34:32,789 - __main__ - INFO -    Events: 33
2026-03-04 10:34:32,789 - __main__ - INFO -    Fights: 218
2026-03-04 10:34:32,789 - __main__ - INFO -    Fight Stats: 430
2026-03-04 10:34:32,789 - __main__ - INFO - ============================================================
2026-03-04 10:34:32,789 - __main__ - INFO - PHASE 1: COLLECTING FIGHTER CAREER STATISTICS
2026-03-04 10:34:32,789 - __main__ - INFO - ============================================================
2026-03-04 10:34:32,818 - __main__ - INFO - Found 4455 fighters needing career stats
2026-03-04 10:36:17,712 - __main__ - INFO - Progress: 50/4455 fighters processed
2026-03-04 10:38:01,798 - __main__ - INFO - Progress: 100/4455 fighters processed
2026-03-04 10:39:55,358 - __main__ - INFO - Progress: 150/4455 fighters processed
2026-03-04 10:41:45,930 - __main__ - INFO - Progress: 200/4455 fighters processed
2026-03-04 10:43:31,158 - __main__ - INFO - Progress: 250/4455 fighters processed
2026-03-04 10:45:17,216 - __main__ - INFO - Progress: 300/4455 fighters processed
2026-03-04 10:47:04,294 - __main__ - INFO - Progress: 350/4455 fighters processed
2026-03-04 10:48:50,542 - __main__ - INFO - Progress: 400/4455 fighters processed
2026-03-04 10:50:36,995 - __main__ - INFO - Progress: 450/4455 fighters processed
2026-03-04 10:52:28,825 - __main__ - INFO - 🏁 MILESTONE: Fighter Career Stats - 500 completed of 4455
2026-03-04 10:52:28,868 - __main__ - INFO - 📊 OVERALL PROGRESS:
2026-03-04 10:52:28,868 - __main__ - INFO -    Fighters: 4455 total, 0 with career stats
2026-03-04 10:52:28,868 - __main__ - INFO -    Events: 33
2026-03-04 10:52:28,868 - __main__ - INFO -    Fights: 218
2026-03-04 10:52:28,868 - __main__ - INFO -    Fight Stats: 430
2026-03-04 10:52:28,868 - __main__ - INFO - Progress: 500/4455 fighters processed
2026-03-04 10:54:13,552 - __main__ - INFO - Progress: 550/4455 fighters processed
2026-03-04 10:55:59,140 - __main__ - INFO - Progress: 600/4455 fighters processed
2026-03-04 10:57:44,939 - __main__ - INFO - Progress: 650/4455 fighters processed
2026-03-04 10:59:32,368 - __main__ - INFO - Progress: 700/4455 fighters processed
2026-03-04 11:01:19,435 - __main__ - INFO - Progress: 750/4455 fighters processed
2026-03-04 11:03:05,225 - __main__ - INFO - Progress: 800/4455 fighters processed
2026-03-04 11:04:50,584 - __main__ - INFO - Progress: 850/4455 fighters processed
2026-03-04 11:06:36,454 - __main__ - INFO - Progress: 900/4455 fighters processed
2026-03-04 11:08:21,967 - __main__ - INFO - Progress: 950/4455 fighters processed
2026-03-04 11:10:14,464 - __main__ - INFO - 🏁 MILESTONE: Fighter Career Stats - 1000 completed of 4455
2026-03-04 11:10:14,509 - __main__ - INFO - 📊 OVERALL PROGRESS:
2026-03-04 11:10:14,509 - __main__ - INFO -    Fighters: 4455 total, 0 with career stats
2026-03-04 11:10:14,509 - __main__ - INFO -    Events: 33
2026-03-04 11:10:14,509 - __main__ - INFO -    Fights: 218
2026-03-04 11:10:14,509 - __main__ - INFO -    Fight Stats: 430
2026-03-04 11:10:14,509 - __main__ - INFO - Progress: 1000/4455 fighters processed
2026-03-04 11:12:02,879 - __main__ - INFO - Progress: 1050/4455 fighters processed
2026-03-04 11:13:50,058 - __main__ - INFO - Progress: 1100/4455 fighters processed
2026-03-04 11:15:37,690 - __main__ - INFO - Progress: 1150/4455 fighters processed
2026-03-04 11:17:25,153 - __main__ - INFO - Progress: 1200/4455 fighters processed
2026-03-04 11:19:11,558 - __main__ - INFO - Progress: 1250/4455 fighters processed
2026-03-04 11:20:59,459 - __main__ - INFO - Progress: 1300/4455 fighters processed
2026-03-04 11:22:46,085 - __main__ - INFO - Progress: 1350/4455 fighters processed
2026-03-04 11:24:32,253 - __main__ - INFO - Progress: 1400/4455 fighters processed
2026-03-04 11:26:18,717 - __main__ - INFO - Progress: 1450/4455 fighters processed
2026-03-04 11:28:04,632 - __main__ - INFO - 🏁 MILESTONE: Fighter Career Stats - 1500 completed of 4455
